iter	Passed	Remaining
273	223	592
274	223	590
275	224	588
276	224	586
277	225	584
278	225	582
279	225	581
280	240	615
281	240	612
282	240	610
283	240	607
284	242	607
285	242	605
286	242	602
287	243	602
288	244	600
289	244	599
290	245	598
291	246	596
292	248	598
293	248	597
294	248	594
295	248	592
296	249	590
297	249	587
298	249	585
299	250	584
300	250	582
301	251	580
302	252	580
303	252	578
304	253	577
305	253	575
306	254	574
307	254	572
308	259	581
309	260	580
310	262	580
311	262	578
312	262	576
313	263	575
314	263	573
315	263	571
316	264	569
317	264	567
318	265	566
319	265	563
320	265	561
321	265	559
322	266	558
323	266	556
324	266	554
325	267	552
326	271	559
327	271	557
328	272	555
329	273	554
330	273	552
331	274	552
332	275	550
333	276	550
334	277	551
335	277	549
336	278	547
337	278	545
338	278	543
339	279	542
340	279	541
341	280	539
342	281	538
343	281	537
344	282	535
345	282	534
346	283	532
347	283	530
348	283	528
349	283	527
350	284	525
351	284	523
352	285	523
353	285	521
354	285	519
355	286	518
356	286	516
357	286	514
358	287	512
359	287	510
360	287	509
361	287	507
362	288	505
363	288	504
364	289	502
365	289	502
366	290	501
367	291	500
368	291	498
369	291	496
370	314	533
371	315	532
372	315	530
373	316	529
374	316	527
375	316	525
376	317	524
377	317	522
378	317	520
379	318	519
380	318	517
381	318	515
382	318	513
383	319	513
384	320	511
385	320	509
386	320	507
387	321	507
388	359	565
389	361	564
390	361	562
391	361	561
392	362	559
393	362	557
394	362	555
395	363	554
396	364	552
397	364	551
398	364	549
399	374	562
400	375	560
401	375	558
402	376	557
403	376	555
404	377	554
405	377	552
406	377	550
407	379	550
408	379	548
409	380	547
410	380	545
411	380	543
412	381	542
413	382	540
414	382	539
415	383	538
416	385	538
417	385	536
418	385	535
419	387	534
420	388	533
421	388	532
422	389	530
423	389	529
424	390	527
425	390	526
426	392	526
427	393	525
428	393	523
429	393	521
430	393	520
431	394	518
432	394	517
433	395	515
434	395	514
435	396	512
436	396	511
437	397	510
438	397	508
439	397	506
440	398	504
441	398	503
442	399	501
443	399	500
444	400	499
445	401	498
446	401	496
447	401	495
448	402	493
449	402	492
450	403	490
451	403	489
452	403	487
453	404	486
454	404	484
455	404	483
456	405	481
457	405	480
458	406	478
459	430	504
460	430	503
461	430	501
462	430	499
463	431	498
464	431	496
465	431	494
466	431	492
467	454	516
468	454	514
469	455	513
470	456	512
471	463	518
472	463	516
473	463	514
474	464	513
475	464	511
476	465	510
477	465	508
478	466	507
479	466	505
480	467	504
481	467	502
482	467	500
483	468	499
484	468	497
485	468	495
486	469	494
487	469	492
488	473	495
489	474	493
490	475	492
491	475	490
492	475	488
493	475	487
494	476	485
495	476	483
496	476	482
497	477	481
498	477	479
499	477	477
500	478	476
501	479	475
502	480	474
503	480	472
504	480	471
505	481	469
506	481	468
507	481	466
508	482	465
509	482	463
510	482	461
511	483	460
512	483	459
513	483	457
514	484	455
515	485	455
516	485	453
517	486	452
518	486	451
519	487	449
520	488	448
521	488	447
522	489	446
523	489	444
524	489	443
525	490	441
526	490	440
527	490	438
528	490	437
529	491	435
530	491	434
531	491	432
532	492	431
533	492	429
534	493	428
535	493	427
536	503	434
537	508	436
538	509	435
539	509	434
540	512	434
541	512	433
542	513	432
543	513	430
544	514	429
545	515	428
546	515	426
547	515	425
548	516	423
549	516	422
550	516	421
551	517	420
552	518	418
553	518	417
554	519	416
555	519	415
556	520	413
557	520	412
558	521	411
559	521	409
560	521	408
561	522	407
562	522	405
563	523	404
564	523	402
565	523	401
566	524	400
567	524	398
568	524	397
569	524	396
570	534	401
571	534	400
572	535	398
573	538	399
574	538	398
575	541	398
576	547	401
577	548	400
578	548	398
579	549	397
580	558	402
581	558	401
582	558	399
583	558	398
584	559	396
585	562	397
586	562	395
587	562	394
588	562	392
589	563	391
590	563	390
591	563	388
592	564	387
593	564	385
594	564	384
595	565	383
596	565	381
597	565	380
598	571	382
599	579	386
600	579	384
601	583	385
602	584	384
603	584	383
604	586	382
605	588	382
606	588	381
607	588	379
608	589	378
609	590	377
610	590	375
611	590	374
612	590	373
613	591	371
614	591	370
615	592	369
616	592	367
617	592	366
618	592	364
619	593	363
620	594	362
621	594	361
622	595	360
623	595	359
624	596	357
625	596	356
626	597	355
627	597	354
628	598	352
629	598	351
630	598	350
631	598	348
632	599	347
633	599	346
634	600	344
635	600	343
636	600	342
637	601	341
638	601	339
639	658	370
640	659	369
641	659	367
642	659	366
643	659	364
644	660	363
645	660	361
646	660	360
647	661	359
648	661	357
649	662	356
650	662	355
651	662	353
652	666	354
653	667	353
654	667	351
655	669	350
656	669	349
657	669	348
658	670	347
659	671	345
660	674	345
661	674	344
662	674	343
663	675	341
664	675	340
665	677	339
666	677	338
667	678	336
668	678	335
669	679	334
670	679	333
671	680	331
672	680	330
673	681	329
674	681	328
675	682	327
676	682	325
677	683	324
678	683	323
679	684	321
680	684	320
681	685	319
682	687	318
683	688	317
684	688	316
685	688	315
686	689	313
687	689	312
688	690	311
689	690	310
690	691	309
691	692	308
692	692	306
693	695	306
694	695	305
695	696	304
696	696	302
697	697	301
698	698	300
699	698	299
700	698	298
701	699	296
702	699	295
703	700	294
704	700	293
705	701	291
706	701	290
707	701	289
708	702	288
709	734	299
710	734	298
711	734	297
712	735	296
713	736	295
714	737	293
715	739	293
716	740	292
717	741	291
718	741	289
719	741	288
720	751	290
721	752	289
722	754	289
723	755	287
724	755	286
725	756	285
726	757	284
727	757	283
728	758	281
729	759	280
730	759	279
731	760	278
732	760	277
733	761	275
734	761	274
735	762	273
736	762	272
737	766	272
738	766	270
739	767	269
740	768	268
741	768	267
742	769	266
743	769	264
744	770	263
745	770	262
746	783	265
747	784	264
748	784	262
749	784	261
750	786	260
751	786	259
752	787	258
753	788	257
754	790	256
755	792	255
756	793	254
757	795	253
758	796	252
759	799	252
760	800	251
761	801	250
762	802	249
763	805	248
764	806	247
765	807	246
766	809	245
767	809	244
768	809	243
769	810	242
770	810	240
771	811	239
772	812	238
773	813	237
774	830	241
775	831	239
776	833	239
777	834	238
778	834	236
779	835	235
780	836	234
781	837	233
782	838	232
783	848	233
784	849	232
785	853	232
786	853	230
787	853	229
788	854	228
789	855	227
790	856	226
791	856	225
792	857	223
793	858	222
794	858	221
795	859	220
796	859	218
797	860	217
798	860	216
799	861	215
800	861	214
801	863	213
802	863	211
803	864	210
804	864	209
805	865	208
806	865	206
807	865	205
808	866	204
809	866	203
810	868	202
811	869	201
812	871	200
813	872	199
814	872	198
815	872	196
816	874	195
817	874	194
818	875	193
819	875	192
820	876	191
821	879	190
822	879	189
823	883	188
824	883	187
825	884	186
826	885	185
827	886	184
828	887	183
829	888	181
830	889	180
831	890	179
832	890	178
833	891	177
834	891	176
835	892	175
836	893	173
837	894	172
838	894	171
839	894	170
840	895	169
841	895	168
842	897	167
843	898	166
844	899	164
845	899	163
846	901	162
847	901	161
848	903	160
849	906	159
850	906	158
851	910	158
852	910	156
853	912	155
854	912	154
855	912	153
856	913	152
857	913	151
858	913	149
859	914	148
860	921	148
861	922	147
862	943	149
863	944	148
864	944	147
865	946	146
866	947	145
867	949	144
868	950	143
869	951	142
870	951	140
871	957	140
872	957	139
873	958	138
874	958	136
875	960	135
876	960	134
877	961	133
878	961	132
879	962	131
880	963	130
881	964	129
882	964	127
883	987	129
884	988	128
885	988	127
886	989	126
887	990	124
888	990	123
889	990	122
890	991	121
891	991	120
892	992	118
893	992	117
894	992	116
895	993	115
896	993	114
897	993	112
898	994	111
899	994	110
900	994	109
901	995	108
902	995	106
903	996	105
904	997	104
905	997	103
906	998	102
907	1001	101
908	1001	100
909	1001	99
910	1033	100
911	1033	99
912	1034	98
913	1034	97
914	1034	96
915	1035	94
916	1035	93
917	1035	92
918	1035	91
919	1037	90
920	1038	89
921	1040	88
922	1048	87
923	1048	86
924	1049	85
925	1049	83
926	1050	82
927	1050	81
928	1051	80
929	1051	79
930	1052	77
931	1052	76
932	1053	75
933	1053	74
934	1054	73
935	1054	72
936	1054	70
937	1054	69
938	1056	68
939	1056	67
940	1058	66
941	1059	65
942	1060	64
943	1060	62
944	1061	61
945	1061	60
946	1062	59
947	1062	58
948	1062	57
949	1062	55
950	1063	54
951	1063	53
952	1064	52
953	1064	51
954	1064	50
955	1065	49
956	1065	47
957	1072	46
958	1072	45
959	1073	44
960	1073	43
961	1074	42
962	1075	41
963	1077	40
964	1078	39
965	1079	37
966	1079	36
967	1079	35
968	1080	34
969	1080	33
970	1080	32
971	1080	31
972	1089	30
973	1089	29
974	1090	27
975	1090	26
976	1090	25
977	1090	24
978	1091	23
979	1097	22
980	1098	21
981	1098	20
982	1098	19
983	1099	17
984	1099	16
985	1099	15
986	1099	14
987	1100	13
988	1100	12
989	1101	11
990	1101	10
991	1101	8
992	1101	7
993	1102	6
994	1102	5
995	1103	4
996	1103	3
997	1103	2
998	1103	1
999	1104	0
